biotype,chromosome_name,ensembl_gene_id,ensembl_transcript_id,function_group,gene_row_index,gene_token_ids,genomic_loc,preferred_ensembl,start_position,symbol,transcript_length
protein_coding,16,ENSG00000004779,ENST00000007516,Housekeeping,57,60,14636,ENSG00000004779,23581014,NDUFAB1,665
protein_coding,7,ENSG00000004799,ENST00000005178,protein_coding,58,61,36040,ENSG00000004799,95583499,PDK4,3601
protein_coding,6,ENSG00000004809,ENST00000368919,rare_protein_coding,59,62,34065,ENSG00000004809,110424687,SLC22A16,1959
protein_coding,3,ENSG00000004838,ENST00000231749,rare_protein_coding,60,63,26385,ENSG00000004838,50341110,ZMYND10,1774
protein_coding,7,ENSG00000004846,ENST00000404938,rare_protein_coding,61,64,35092,ENSG00000004846,20615667,ABCB5,5350
protein_coding,X,ENSG00000004848,ENST00000379044,rare_Transcription Factor,62,65,45210,ENSG00000004848,25003694,ARX,2893
protein_coding,7,ENSG00000004864,ENST00000265631,protein_coding,63,66,36042,ENSG00000004864,96120220,SLC25A13,3141
protein_coding,7,ENSG00000004866,ENST00000323984,protein_coding,64,67,36337,ENSG00000004866,116953238,ST7,2093
protein_coding,17,ENSG00000004897,ENST00000066544,Housekeeping,65,68,16751,ENSG00000004897,47117703,CDC27,5830
protein_coding,17,ENSG00000004939,ENST00000262418,protein_coding,66,69,16677,ENSG00000004939,44248390,SLC4A1,4954
protein_coding,7,ENSG00000004948,ENST00000426151,rare_protein_coding,67,70,36005,ENSG00000004948,93424486,CALCR,3572
protein_coding,X,ENSG00000004961,ENST00000380762,protein_coding,68,71,45041,ENSG00000004961,11111301,HCCS,2312
protein_coding,17,ENSG00000004975,ENST00000005340,Transcription Factor,69,72,15872,ENSG00000004975,7225342,DVL2,2989
protein_coding,16,ENSG00000005001,ENST00000161006,rare_protein_coding,70,73,14273,ENSG00000005001,2852730,PRSS22,1383
protein_coding,19,ENSG00000005007,ENST00000262803,protein_coding,71,74,19019,ENSG00000005007,18831959,UPF1,5321
protein_coding,7,ENSG00000005020,ENST00000345317,protein_coding,72,75,35180,ENSG00000005020,26667068,SKAP2,3839
protein_coding,X,ENSG00000005022,ENST00000317881,Housekeeping,73,76,46307,ENSG00000005022,119468422,SLC25A5,1307
protein_coding,4,ENSG00000005059,ENST00000394650,protein_coding,74,77,29411,ENSG00000005059,109560209,MCUB,2230
protein_coding,7,ENSG00000005073,ENST00000006015,rare_Transcription Factor,75,78,35188,ENSG00000005073,27181157,HOXA11,2669
protein_coding,7,ENSG00000005075,ENST00000292614,Housekeeping,76,79,36169,ENSG00000005075,102473128,POLR2J,937
protein_coding,17,ENSG00000005102,ENST00000318579,rare_Transcription Factor,77,81,16657,ENSG00000005102,43640389,MEOX1,2674
protein_coding,7,ENSG00000005108,ENST00000423059,rare_protein_coding,78,82,35010,ENSG00000005108,11370365,THSD7A,10655
protein_coding,17,ENSG00000005156,ENST00000378526,protein_coding,79,83,16396,ENSG00000005156,34980512,LIG3,8382
protein_coding,12,ENSG00000005175,ENST00000005386,protein_coding,80,84,8757,ENSG00000005175,47661249,RPAP3,4339
protein_coding,16,ENSG00000005187,ENST00000289416,protein_coding,81,85,14575,ENSG00000005187,20610243,ACSM3,2533
protein_coding,16,ENSG00000005189,ENST00000261377,protein_coding,82,86,14579,ENSG00000005189,20806429,REXO5,2691
protein_coding,16,ENSG00000005194,ENST00000394391,protein_coding,83,87,15130,ENSG00000005194,57428187,CIAPIN1,2021
protein_coding,19,ENSG00000005206,ENST00000613503,protein_coding,84,88,18524,ENSG00000005206,2328615,SPPL2B,3691
protein_coding,9,ENSG00000005238,ENST00000322813,protein_coding,85,89,39226,,35104112,FAM214B,2998
protein_coding,17,ENSG00000005243,ENST00000621465,protein_coding,86,90,16778,ENSG00000005243,48026167,COPZ2,914
protein_coding,7,ENSG00000005249,ENST00000265717,protein_coding,87,91,36238,ENSG00000005249,107044705,PRKAR2B,3689
protein_coding,X,ENSG00000005302,ENST00000312196,Transcription Factor,88,92,45049,ENSG00000005302,11758159,MSL3,2286
protein_coding,16,ENSG00000005339,ENST00000262367,Transcription Factor,89,93,14303,ENSG00000005339,3725054,CREBBP,10790
protein_coding,17,ENSG00000005379,ENST00000343736,protein_coding,90,94,16946,ENSG00000005379,58301228,TSPOAP1,7698
protein_coding,17,ENSG00000005381,ENST00000225275,rare_protein_coding,91,95,16945,ENSG00000005381,58269855,MPO,3216
protein_coding,7,ENSG00000005421,ENST00000222381,rare_protein_coding,92,96,36034,ENSG00000005421,95297676,PON1,2393
protein_coding,2,ENSG00000005436,ENST00000321027,Transcription Factor,93,97,21117,ENSG00000005436,75652000,GCFC2,4367
protein_coding,2,ENSG00000005448,ENST00000348227,protein_coding,94,98,21095,ENSG00000005448,74421678,WDR54,1147
protein_coding,7,ENSG00000005469,ENST00000331536,protein_coding,95,99,35938,ENSG00000005469,87345664,CROT,3205
protein_coding,7,ENSG00000005471,ENST00000649586,rare_protein_coding,96,100,35939,ENSG00000005471,87401696,ABCB4,4293
protein_coding,7,ENSG00000005483,ENST00000311117,Transcription Factor,97,101,36207,ENSG00000005483,104940943,KMT2E,7782
protein_coding,7,ENSG00000005486,ENST00000006777,Housekeeping,98,102,35833,ENSG00000005486,75842602,RHBDD2,1721
protein_coding,16,ENSG00000005513,ENST00000293894,rare_Transcription Factor,99,103,14205,ENSG00000005513,981444,SOX8,3087
protein_coding,6,ENSG00000005700,ENST00000306270,protein_coding,100,104,33775,ENSG00000005700,82169986,IBTK,6040
protein_coding,11,ENSG00000005801,ENST00000399602,Transcription Factor,101,105,5805,ENSG00000005801,3339261,ZNF195,3187
protein_coding,13,ENSG00000005810,ENST00000544440,Transcription Factor,102,106,10922,ENSG00000005810,77042474,MYCBP2,15077
protein_coding,13,ENSG00000005812,ENST00000355619,Housekeeping,103,107,10920,ENSG00000005812,76992598,FBXL3,3506
protein_coding,16,ENSG00000005844,ENST00000356798,protein_coding,104,108,14776,ENSG00000005844,30472658,ITGAL,5129
protein_coding,17,ENSG00000005882,ENST00000503176,protein_coding,105,109,16832,ENSG00000005882,50094737,PDK2,3364
protein_coding,17,ENSG00000005884,ENST00000320031,protein_coding,106,110,16831,ENSG00000005884,50055968,ITGA3,4889
protein_coding,X,ENSG00000005889,ENST00000304543,Transcription Factor,107,111,45196,ENSG00000005889,24149173,ZFX,7612
protein_coding,X,ENSG00000005893,ENST00000200639,Housekeeping,108,112,46333,ENSG00000005893,120426148,LAMP2,6535
protein_coding,17,ENSG00000005961,ENST00000262407,protein_coding,109,113,16682,ENSG00000005961,44372180,ITGA2B,3479
protein_coding,7,ENSG00000005981,ENST00000325885,rare_protein_coding,110,114,36038,ENSG00000005981,95478444,ASB4,3784
protein_coding,16,ENSG00000006007,ENST00000353258,Housekeeping,111,115,14553,ENSG00000006007,19501693,GDE1,2907
protein_coding,19,ENSG00000006015,ENST00000358607,protein_coding,112,116,19014,ENSG00000006015,18588685,REX1BD,767
protein_coding,19,ENSG00000006016,ENST00000392386,protein_coding,113,117,19013,ENSG00000006016,18572220,CRLF1,1741
protein_coding,17,ENSG00000006025,ENST00000007414,protein_coding,114,118,16768,ENSG00000006025,47807372,OSBPL7,3664
protein_coding,17,ENSG00000006042,ENST00000579849,protein_coding,115,119,16362,ENSG00000006042,32927910,TMEM98,4218
protein_coding,17,ENSG00000006047,ENST00000007699,rare_Transcription Factor,116,120,15873,ENSG00000006047,7288263,YBX2,1654
protein_coding,17,ENSG00000006062,ENST00000344686,protein_coding,117,122,16711,ENSG00000006062,45263119,MAP3K14,4442
protein_coding,11,ENSG00000006071,ENST00000389817,rare_protein_coding,118,123,6098,ENSG00000006071,17392498,ABCC8,4921
protein_coding,16,ENSG00000006116,ENST00000005284,rare_protein_coding,119,124,14647,ENSG00000006116,24256335,CACNG3,1917
protein_coding,11,ENSG00000006118,ENST00000453848,protein_coding,120,125,6747,ENSG00000006118,60924460,TMEM132A,3498
protein_coding,7,ENSG00000006128,ENST00000319273,rare_protein_coding,121,127,36060,ENSG00000006128,97732084,TAC1,1061
protein_coding,16,ENSG00000006194,ENST00000219069,Transcription Factor,122,128,14289,ENSG00000006194,3283283,ZNF263,3282
protein_coding,16,ENSG00000006210,ENST00000006053,protein_coding,123,129,15128,ENSG00000006210,57372477,CX3CL1,3285
protein_coding,17,ENSG00000006282,ENST00000006658,protein_coding,124,130,16851,ENSG00000006282,50543058,SPATA20,2634
protein_coding,17,ENSG00000006283,ENST00000359106,rare_protein_coding,125,131,16852,ENSG00000006283,50560715,CACNA1G,8602
protein_coding,16,ENSG00000006327,ENST00000326577,protein_coding,126,132,14280,ENSG00000006327,3018445,TNFRSF12A,977
protein_coding,7,ENSG00000006377,ENST00000518156,rare_Transcription Factor,127,133,36054,ENSG00000006377,97005553,DLX6,2300
protein_coding,14,ENSG00000006432,ENST00000554752,protein_coding,128,134,12126,ENSG00000006432,70722526,MAP3K9,11511
protein_coding,7,ENSG00000006451,ENST00000005257,Housekeeping,129,135,35362,ENSG00000006451,39623565,RALA,2787
protein_coding,7,ENSG00000006453,ENST00000005260,protein_coding,130,136,36073,ENSG00000006453,98291650,BAIAP2L1,3645
protein_coding,7,ENSG00000006459,ENST00000397560,Transcription Factor,131,137,36639,ENSG00000006459,140084746,KDM7A,9220
protein_coding,7,ENSG00000006468,ENST00000430479,Transcription Factor,132,138,35029,ENSG00000006468,13891229,ETV1,6459
protein_coding,7,ENSG00000006530,ENST00000649286,protein_coding,133,139,36669,ENSG00000006530,141551278,AGK,3628
protein_coding,11,ENSG00000006534,ENST00000342456,protein_coding,134,140,6984,ENSG00000006534,68008578,ALDH3B1,2811
protein_coding,1,ENSG00000006555,ENST00000371276,protein_coding,135,141,1119,ENSG00000006555,54779712,TTC22,3401
protein_coding,7,ENSG00000006576,ENST00000422959,Transcription Factor,136,142,35870,ENSG00000006576,77798773,PHTF2,4837
protein_coding,2,ENSG00000006607,ENST00000264042,protein_coding,137,144,23213,ENSG00000006607,241356285,FARP2,4009
protein_coding,11,ENSG00000006611,ENST00000005226,rare_protein_coding,138,145,6101,ENSG00000006611,17493895,USH1C,3241
protein_coding,7,ENSG00000006625,ENST00000275428,protein_coding,139,146,35235,ENSG00000006625,30496621,GGCT,1158
protein_coding,7,ENSG00000006634,ENST00000265728,protein_coding,140,147,35944,ENSG00000006634,87876216,DBF4,3655
protein_coding,19,ENSG00000006638,ENST00000375190,rare_protein_coding,141,148,18560,ENSG00000006638,3594507,TBXA2R,2642
protein_coding,7,ENSG00000006652,ENST00000403825,Transcription Factor,142,149,36291,ENSG00000006652,112422887,IFRD1,3269
protein_coding,19,ENSG00000006659,ENST00000392052,rare_protein_coding,143,150,19467,ENSG00000006659,39704481,LGALS14,599
protein_coding,17,ENSG00000006695,ENST00000261643,protein_coding,144,151,15987,ENSG00000006695,14069490,COX10,2898
protein_coding,7,ENSG00000006704,ENST00000424337,Transcription Factor,145,152,35802,ENSG00000006704,74453790,GTF2IRD1,3284
protein_coding,19,ENSG00000006712,ENST00000221265,Transcription Factor,146,153,19456,ENSG00000006712,39385629,PAF1,2200
protein_coding,7,ENSG00000006715,ENST00000310301,protein_coding,147,154,35355,ENSG00000006715,38722974,VPS41,5854
protein_coding,17,ENSG00000006740,ENST00000379672,protein_coding,148,155,15975,ENSG00000006740,12789498,ARHGAP44,4270
protein_coding,17,ENSG00000006744,ENST00000338034,protein_coding,149,156,15977,ENSG00000006744,12991612,ELAC2,3767
protein_coding,7,ENSG00000006747,ENST00000297029,protein_coding,150,157,35019,ENSG00000006747,12570577,SCIN,9682
protein_coding,X,ENSG00000006756,ENST00000381154,protein_coding,151,158,44978,ENSG00000006756,2903972,ARSD,5145
protein_coding,X,ENSG00000006757,ENST00000381042,protein_coding,152,159,45011,ENSG00000006757,7898247,PNPLA4,3342
protein_coding,12,ENSG00000006831,ENST00000357103,Housekeeping,153,161,8046,ENSG00000006831,1688574,ADIPOR2,3971
protein_coding,16,ENSG00000007038,ENST00000005995,rare_protein_coding,154,164,14272,ENSG00000007038,2817180,PRSS21,1091
protein_coding,19,ENSG00000007047,ENST00000262891,protein_coding,155,165,19647,ENSG00000007047,45079288,MARK4,5151
protein_coding,4,ENSG00000007062,ENST00000447510,protein_coding,156,166,28424,ENSG00000007062,15963076,PROM1,4021
protein_coding,19,ENSG00000007080,ENST00000445755,Transcription Factor,157,167,18993,ENSG00000007080,17933015,CCDC124,987
protein_coding,19,ENSG00000007129,ENST00000401445,protein_coding,158,168,19527,ENSG00000007129,41549518,CEACAM21,1372
protein_coding,17,ENSG00000007168,ENST00000397195,Housekeeping,159,169,15755,ENSG00000007168,2593210,PAFAH1B1,5589
protein_coding,17,ENSG00000007171,ENST00000313735,rare_protein_coding,160,170,16236,ENSG00000007171,27756766,NOS2,4206
protein_coding,17,ENSG00000007174,ENST00000262442,rare_protein_coding,161,171,15959,ENSG00000007174,11598470,DNAH9,13711
protein_coding,17,ENSG00000007202,ENST00000528896,Housekeeping,162,172,16260,,28614446,KIAA0100,7428
protein_coding,17,ENSG00000007216,ENST00000314669,rare_protein_coding,163,173,16256,ENSG00000007216,28473293,SLC13A2,2360
protein_coding,17,ENSG00000007237,ENST00000432992,protein_coding,164,174,15935,ENSG00000007237,9910606,GAS7,8269
protein_coding,19,ENSG00000007255,ENST00000585934,protein_coding,165,175,19651,ENSG00000007255,45162928,TRAPPC6A,758
protein_coding,19,ENSG00000007264,ENST00000310132,protein_coding,166,176,18565,ENSG00000007264,3777970,MATK,2098
protein_coding,19,ENSG00000007306,ENST00000401731,rare_protein_coding,167,177,19532,ENSG00000007306,41673303,CEACAM7,2376
protein_coding,17,ENSG00000007312,ENST00000006750,protein_coding,168,178,17081,ENSG00000007312,63928738,CD79B,1246
protein_coding,17,ENSG00000007314,ENST00000435607,rare_protein_coding,169,179,17081,ENSG00000007314,63938554,SCN4A,7805
protein_coding,1,ENSG00000007341,ENST00000358039,protein_coding,170,180,1838,ENSG00000007341,112523514,ST7L,4255
protein_coding,X,ENSG00000007350,ENST00000369915,rare_protein_coding,171,181,46751,ENSG00000007350,154295795,TKTL1,2518
protein_coding,11,ENSG00000007372,ENST00000640368,Transcription Factor,172,182,6266,ENSG00000007372,31784779,PAX6,2743
protein_coding,16,ENSG00000007376,ENST00000007264,protein_coding,173,183,14199,ENSG00000007376,784974,RPUSD1,2048
protein_coding,16,ENSG00000007384,ENST00000262316,protein_coding,174,184,14178,ENSG00000007384,58059,RHBDF1,2992
protein_coding,16,ENSG00000007392,ENST00000293872,protein_coding,175,185,14182,ENSG00000007392,188969,LUC7L,1434
protein_coding,3,ENSG00000007402,ENST00000424201,rare_protein_coding,176,186,26385,ENSG00000007402,50362613,CACNA2D2,5696
protein_coding,16,ENSG00000007516,ENST00000426824,protein_coding,177,187,14217,ENSG00000007516,1333638,BAIAP3,4531
protein_coding,16,ENSG00000007520,ENST00000007390,Housekeeping,178,188,14218,ENSG00000007520,1349240,TSR3,1210
protein_coding,16,ENSG00000007541,ENST00000321878,protein_coding,179,189,14192,ENSG00000007541,566995,PIGQ,2958
protein_coding,6,ENSG00000007866,ENST00000338863,Transcription Factor,180,191,33220,ENSG00000007866,35473597,TEAD3,2986
protein_coding,1,ENSG00000007908,ENST00000333360,rare_protein_coding,181,192,2675,ENSG00000007908,169722640,SELE,3875
protein_coding,1,ENSG00000007923,ENST00000377577,Housekeeping,182,193,135,ENSG00000007923,6634168,DNAJC11,3201
protein_coding,1,ENSG00000007933,ENST00000367755,rare_protein_coding,183,194,2697,ENSG00000007933,171090901,FMO3,2059
protein_coding,6,ENSG00000007944,ENST00000356840,protein_coding,184,195,32798,ENSG00000007944,16129086,MYLIP,3072
protein_coding,X,ENSG00000007952,ENST00000372966,rare_protein_coding,185,196,46048,ENSG00000007952,100843324,NOX1,2543
protein_coding,1,ENSG00000007968,ENST00000361729,rare_Transcription Factor,186,197,465,ENSG00000007968,23506438,E2F2,5196
protein_coding,6,ENSG00000008018,ENST00000262193,Housekeeping,187,198,34829,ENSG00000008018,170535120,PSMB1,891
protein_coding,X,ENSG00000008056,ENST00000295987,rare_protein_coding,188,199,45456,ENSG00000008056,47571901,SYN1,3210
protein_coding,6,ENSG00000008083,ENST00000341776,Transcription Factor,189,200,32789,ENSG00000008083,15246069,JARID2,6003
protein_coding,X,ENSG00000008086,ENST00000623535,protein_coding,190,201,45140,ENSG00000008086,18425583,CDKL5,14572
protein_coding,1,ENSG00000008118,ENST00000361322,rare_protein_coding,191,202,3273,ENSG00000008118,209583714,CAMK1G,2456
protein_coding,1,ENSG00000008130,ENST00000341426,protein_coding,192,204,55,ENSG00000008130,1751232,NADK,3235
protein_coding,6,ENSG00000008196,ENST00000393655,rare_Transcription Factor,193,205,33482,ENSG00000008196,50818723,TFAP2B,5631
protein_coding,3,ENSG00000008226,ENST00000308059,rare_protein_coding,194,207,26135,ENSG00000008226,38039205,DLEC1,6899
protein_coding,7,ENSG00000008256,ENST00000350796,protein_coding,195,208,34945,ENSG00000008256,6161779,CYTH3,4482
protein_coding,7,ENSG00000008277,ENST00000413139,rare_protein_coding,196,209,35945,ENSG00000008277,87934143,ADAM22,9508
protein_coding,7,ENSG00000008282,ENST00000455385,Housekeeping,197,210,36224,ENSG00000008282,106090505,SYPL1,2130
protein_coding,17,ENSG00000008283,ENST00000360793,protein_coding,198,211,17064,ENSG00000008283,63432304,CYB561,2929
protein_coding,17,ENSG00000008294,ENST00000262013,Housekeeping,199,212,16863,ENSG00000008294,50962174,SPAG9,8276
protein_coding,3,ENSG00000008300,ENST00000164024,protein_coding,200,213,26345,ENSG00000008300,48636463,CELSR3,11933
protein_coding,7,ENSG00000008311,ENST00000417368,Transcription Factor,201,214,36386,ENSG00000008311,122064583,AASS,5825
protein_coding,12,ENSG00000008323,ENST00000684764,protein_coding,202,215,8134,ENSG00000008323,6310436,PLEKHG6,2969
protein_coding,3,ENSG00000008324,ENST00000011691,Transcription Factor,203,216,26211,ENSG00000008324,42581840,SS18L2,2697
protein_coding,19,ENSG00000008382,ENST00000599840,Transcription Factor,204,217,18585,ENSG00000008382,4343527,MPND,1614
protein_coding,12,ENSG00000008394,ENST00000396210,protein_coding,205,218,8392,ENSG00000008394,16347142,MGST1,925
protein_coding,12,ENSG00000008405,ENST00000008527,Transcription Factor,206,219,9678,ENSG00000008405,106991364,CRY1,2987
protein_coding,19,ENSG00000008438,ENST00000008938,rare_protein_coding,207,220,19681,ENSG00000008438,46019153,PGLYRP1,708
protein_coding,19,ENSG00000008441,ENST00000592199,Transcription Factor,208,221,18850,ENSG00000008441,12995475,NFIX,6019
protein_coding,8,ENSG00000008513,ENST00000522652,protein_coding,209,222,38662,ENSG00000008513,133454848,ST3GAL1,6715
protein_coding,16,ENSG00000008516,ENST00000336577,protein_coding,210,223,14280,ENSG00000008516,3046062,MMP25,3674
protein_coding,16,ENSG00000008517,ENST00000525643,protein_coding,211,224,14281,ENSG00000008517,3065297,IL32,818
protein_coding,16,ENSG00000008710,ENST00000262304,Transcription Factor,212,225,14245,ENSG00000008710,2088708,PKD1,14140
protein_coding,22,ENSG00000008735,ENST00000329492,protein_coding,213,226,25712,ENSG00000008735,50600793,MAPK8IP2,5700
protein_coding,17,ENSG00000008838,ENST00000394128,Transcription Factor,214,227,16529,ENSG00000008838,40019097,MED24,3480
protein_coding,8,ENSG00000008853,ENST00000251822,protein_coding,215,228,37302,ENSG00000008853,22987417,RHOBTB2,5482
protein_coding,2,ENSG00000008869,ENST00000233099,protein_coding,216,229,20579,ENSG00000008869,36968383,HEATR5B,6937
protein_coding,3,ENSG00000008952,ENST00000337002,Housekeeping,217,230,27731,ENSG00000008952,169966635,SEC62,6526
protein_coding,8,ENSG00000008988,ENST00000009589,Housekeeping,218,231,37752,ENSG00000008988,56067254,RPS20,519
protein_coding,1,ENSG00000009307,ENST00000358528,Transcription Factor,219,232,1881,ENSG00000009307,114716913,CSDE1,4097
protein_coding,7,ENSG00000009335,ENST00000348165,Housekeeping,220,233,36926,ENSG00000009335,157138926,UBE3C,5214
protein_coding,6,ENSG00000009413,ENST00000368802,protein_coding,221,234,34084,ENSG00000009413,111299028,REV3L,10706
protein_coding,X,ENSG00000009694,ENST00000422452,rare_Transcription Factor,222,235,46370,ENSG00000009694,124375903,TENM1,13547
protein_coding,1,ENSG00000009709,ENST00000420770,rare_Transcription Factor,223,236,372,ENSG00000009709,18630846,PAX7,6213
protein_coding,1,ENSG00000009724,ENST00000400897,protein_coding,224,237,215,ENSG00000009724,11022009,MASP2,2455
protein_coding,6,ENSG00000009765,ENST00000344419,rare_protein_coding,225,238,34566,ENSG00000009765,150368892,IYD,8622
protein_coding,1,ENSG00000009780,ENST00000373954,protein_coding,226,239,572,ENSG00000009780,27725961,FAM76A,3579
